ID,vrtevnice_pocet
1,185
2,142
3,139
4,11
5,124
6,8
7,17
8,6
9,8
10,126
11,105
12,111
13,43
14,28
15,13
16,30
17,106
18,49
19,83
20,45
21,33
22,25
23,53
24,19
25,25
26,14
27,23
28,11
29,26
30,34
31,37
32,121
33,16
34,265
35,194
36,74
37,128
38,35
39,21
40,52
41,91
42,119
43,55
44,23
45,48
46,77
47,15
48,9
49,19
50,294
51,98
52,64
53,22
54,31
55,36
56,69
57,50
58,13
59,25
60,178
61,228
62,161
63,164
64,195
65,68
66,56
67,96
68,47
69,138
70,13
71,67
72,11
73,104
74,50
75,18
76,106
77,275
78,11
79,72
80,89
81,21
82,20
83,49
84,156
85,55
86,30
87,34
88,84
89,108
90,165
91,103
92,53
93,73
94,60
95,69
96,77
97,164
98,49
99,7
100,79
101,284
102,58
103,29
104,16
105,114
106,30
107,76
108,109
109,106
110,225
111,196
112,117
113,238
114,210
115,182
116,137
117,269
118,158
119,30
120,47
121,69
122,105
123,122
124,132
125,35
126,87
127,177
128,268
129,158
130,77
131,101
132,21
133,22
134,60
135,110
136,117
137,126
138,97
139,142
140,188
141,144
142,116
143,54
144,35
145,184
146,164
147,394
148,86
149,97
150,36
151,34
152,61
153,71
154,71
155,129
156,48
157,114
158,83
159,84
160,229
161,128
162,98
163,39
164,125
165,114
166,158
167,142
168,113
169,205
170,283
171,48
172,105
173,25
174,156
175,189
176,168
177,136
178,106
179,90
180,76
181,136
182,90
183,118
184,294
185,96
186,140
187,215
188,110
189,167
190,66
191,124
192,100
193,184
194,56
195,253
196,93
197,84
198,85
199,50
200,91
201,130
202,404
203,26
204,11
205,141
206,181
207,114
208,167
209,122
210,69
211,134
212,89
213,76
214,115
215,107
216,82
217,62
218,66
219,104
220,121
221,91
222,87
223,286
224,39
225,32
226,4
227,214
228,175
229,89
230,181
231,115
232,69
233,121
234,100
235,142
236,22
237,2
238,5
239,287
240,109
241,111
242,121
243,81
244,5
245,20
246,102
247,190
248,227
249,8
250,36
251,30
252,107
253,94
254,60
255,81
256,133
257,53
258,28
259,106
260,41
261,21
262,77
263,44
264,49
265,206
266,163
267,83
268,153
269,60
270,167
271,37
272,92
273,50
274,56
275,220
276,53
277,74
278,179
279,141
280,112
281,36
282,126
283,81
284,105
285,138
286,114
287,76
288,83
289,29
290,116
291,170
292,120
293,159
294,136
295,22
296,21
297,139
298,100
299,126
300,114
301,104
302,163
303,147
304,152
305,125
306,37
307,252
308,31
309,42
310,36
311,68
312,82
313,58
314,154
315,122
316,101
317,92
318,71
319,62
320,56
321,63
322,132
323,32
324,61
325,203
326,89
327,40
328,45
329,78
330,164
331,86
332,251
333,163
334,95
335,107
336,122
337,113
338,96
339,78
340,126
341,80
342,114
343,74
344,154
345,29
346,19
347,61
348,110
349,48
350,81
351,136
352,126
353,74
354,79
355,184
356,102
357,105
358,121
359,90
360,66
361,37
362,35
363,65
364,94
365,40
366,78
367,154
368,81
369,138
370,113
371,91
372,81
373,145
374,128
375,82
376,210
377,197
378,229
379,235
380,81
381,36
382,101
383,161
384,106
385,138
386,113
387,57
388,94
389,182
390,156
391,175
392,146
393,171
394,29
395,80
396,139
397,100
398,185
399,207
400,39
401,130
402,79
403,234
404,288
405,167
406,130
407,151
408,59
409,27
410,72
411,191
412,44
413,223
414,293
415,245
416,45
417,98
418,46
419,196
420,316
421,95
422,175
423,59
