id,ZIV20_pocet,ZIV20_1,ZIV20_2,ZIV20_3,ZIV20_4,ZIV20_5,ZIV20_6,ZIV20_7,ZIV20_8,ZIV20_9,ZIV20_10,ZIV20_11,ZIV20_12,ZIV20_13,ZIV20_14,ZIV20_15,ZIV20_16
1,16,3,4,4,2,2,1,2,5,1,3,6,5,3,5,6,5
2,23,7,5,4,3,9,4,4,2,5,6,7,4,4,4,4,3
3,14,6,3,4,2,5,2,3,2,7,4,2,3,6,3,2,2
4,2,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
5,14,6,4,3,1,6,3,4,2,4,1,4,3,4,3,4,3
6,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1
7,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
8,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10,22,11,12,9,6,6,5,5,2,4,7,4,2,7,4,2,1
11,13,5,2,2,1,2,2,1,1,1,2,1,4,1,4,3,4
12,13,2,2,4,2,5,4,7,6,5,6,7,2,3,4,3,0
13,7,3,2,0,1,4,1,0,1,1,1,1,1,1,2,1,1
14,5,2,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1
15,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
16,4,0,2,1,2,1,2,1,1,1,1,1,1,0,0,2,2
17,15,7,7,5,1,9,7,7,1,2,5,7,1,1,8,7,0
18,13,4,5,2,2,2,3,1,1,3,4,1,1,3,3,1,2
19,11,4,6,2,1,1,2,3,5,1,1,3,4,1,3,3,4
20,6,1,3,3,2,1,1,0,1,1,1,0,0,0,0,0,0
21,3,2,2,0,0,2,1,1,1,1,1,1,0,0,0,0,0
22,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
23,4,2,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1
24,2,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1
25,4,1,0,0,0,2,1,1,1,0,0,0,0,1,0,0,1
26,3,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1
27,2,1,1,1,1,0,1,1,1,0,2,2,2,2,2,0,1
28,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0
29,4,1,0,0,1,1,1,1,1,0,0,1,2,0,0,1,2
30,8,2,2,0,0,2,1,0,0,2,1,1,0,3,2,0,0
31,6,0,1,0,2,0,1,2,2,0,1,3,0,2,2,2,2
32,12,1,1,1,0,1,2,3,3,1,3,3,3,6,4,3,3
33,3,0,0,1,1,1,0,1,2,1,1,0,1,1,1,1,1
34,24,5,8,12,7,3,4,6,6,4,4,4,5,5,2,1,1
35,22,3,10,4,1,10,10,2,2,5,1,2,3,2,2,4,6
36,8,1,1,1,1,1,0,2,2,1,1,2,1,4,2,2,1
37,15,2,5,9,7,1,3,4,5,1,3,5,4,1,2,3,1
38,4,1,0,1,2,1,1,2,3,0,1,1,1,1,1,1,1
39,3,2,1,1,1,2,1,1,1,1,2,1,0,1,1,0,0
40,2,0,0,2,1,0,1,2,1,0,1,1,1,0,1,2,1
41,5,2,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1
42,10,3,3,3,3,2,4,3,3,4,5,4,2,2,1,2,1
43,6,4,3,2,2,2,2,2,1,0,1,1,1,0,1,1,1
44,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
45,7,1,0,0,2,1,0,0,3,1,0,0,3,2,2,1,2
46,15,3,0,0,1,2,1,1,3,3,3,3,2,3,3,4,4
47,5,1,2,0,2,1,1,1,1,1,0,1,0,2,1,1,0
48,2,1,1,1,0,1,1,1,0,2,2,1,0,0,1,2,2
49,6,1,1,1,5,0,0,0,2,0,0,0,0,0,0,0,0
50,33,10,8,8,9,4,3,9,6,8,5,9,10,7,2,7,7
51,14,3,3,1,1,1,3,2,2,5,6,5,1,4,7,6,3
52,11,1,5,4,1,2,3,3,2,1,4,3,3,2,4,2,4
53,5,1,1,1,1,1,2,1,3,1,2,2,2,0,1,1,1
54,5,1,1,1,0,2,2,1,1,1,1,1,2,1,0,1,1
55,4,0,1,2,2,0,1,2,1,1,2,1,1,1,2,1,1
56,6,0,1,2,2,1,2,1,1,2,2,1,0,1,1,1,0
57,7,2,2,2,2,2,1,1,1,3,2,1,1,1,2,2,0
58,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
59,3,0,0,1,1,1,1,1,2,1,1,1,1,0,1,1,1
60,29,2,2,7,15,4,3,9,14,7,5,7,8,6,5,6,3
61,15,1,1,2,1,4,6,6,1,8,6,6,2,11,7,5,5
62,21,0,4,7,3,4,4,9,4,6,5,7,4,5,3,5,3
63,18,1,3,3,2,2,2,2,7,3,3,7,9,6,4,6,8
64,14,2,1,2,2,7,1,1,1,9,2,1,3,6,1,2,3
65,8,3,4,2,1,3,3,3,2,3,2,2,2,2,1,1,0
66,8,3,3,3,0,1,1,4,4,3,2,3,3,2,2,2,2
67,8,1,0,1,1,1,1,1,1,1,0,1,1,2,2,2,1
68,4,1,2,1,0,2,2,1,2,3,2,2,2,3,1,1,1
69,26,5,3,2,4,5,4,2,5,6,4,4,6,8,6,8,9
70,2,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0
71,15,3,2,3,2,2,2,3,10,2,2,5,9,1,1,5,5
72,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
73,7,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1
74,8,4,2,0,1,2,2,1,0,3,2,1,1,1,2,2,1
75,6,1,0,0,1,1,1,0,1,2,2,1,2,2,1,1,0
76,10,1,1,2,4,6,5,3,3,6,6,4,3,1,1,2,2
77,31,11,9,5,9,9,5,7,5,6,2,10,8,7,5,11,4
78,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
79,11,2,2,2,3,3,4,3,3,4,3,1,3,3,4,4,3
80,6,2,1,0,1,3,1,0,1,3,2,1,1,3,4,0,0
81,5,1,0,1,2,1,0,0,2,1,0,1,2,1,0,2,1
82,3,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1
83,5,0,1,0,1,0,1,1,1,0,1,1,2,1,0,3,3
84,23,8,7,7,9,5,7,2,3,5,3,6,7,4,4,7,7
85,10,2,2,2,2,3,2,2,1,2,1,2,1,1,2,3,2
86,4,2,1,1,0,3,1,1,1,1,2,2,1,1,1,1,1
