ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
1;0;20;643.16;3;7653.58;747.59;36261.96;5767.13;456577.71
2;0;12;1.57;19;10267.07;5409.23;138528.54;1145.86;129623.91
3;0;0;0.0;0;3685.11;4942.49;107350.63;2.0;259425.21
4;0;0;0.0;0;1395.98;7101.82;0.0;0.0;17419.58
5;24;63;21.61;9;3580.46;4451.48;64319.63;56606.64;374180.01
6;0;4;294.18;5;6241.82;2218.96;265575.88;0.0;954052.15
7;0;64;1.14;19;5643.58;273.04;378195.8;13841.47;1296024.48
8;0;6;2.37;14;409.89;11880.32;1078720.67;1161.24;101066.98
9;0;0;0.0;0;5628.82;2241.55;19711.97;0.0;757418.72
10;60;130;1.77;19;2624.2;11064.65;46069.65;42.97;212551.81
11;0;30;36.45;5;5897.55;3776.0;108288.74;0.0;779118.94
12;0;4;28.59;9;1704.79;6496.71;48070.04;44093.66;131857.48
13;0;0;0.0;0;4770.81;9780.31;662812.81;0.0;45445.99
14;0;3;3.99;14;26657.17;7932.7;285791.16;2.0;1956248.78
15;0;1;22.87;7;1049.24;11210.35;781009.1;0.0;100948.94
16;0;0;0.0;0;3200.79;4731.48;8257.51;0.0;3352.48
17;96;240;7.17;16;4336.95;1919.0;1424000.32;41567.66;15108.85
18;0;5;1.47;28;2565.37;2684.22;199327.07;0.0;411377.28
19;0;32;1.56;20;3652.44;3774.48;1022922.98;29590.01;1014133.46
20;17;34;15516.85;8;3732.16;1368.81;1920557.66;0.0;394882.05
21;0;126;6.14;9;3245.96;5194.98;561289.04;0.0;132257.94
22;116;342;5.37;14;4290.32;544.21;83933.82;0.0;242144.39
23;16;77;9.41;11;4737.5;2666.25;1090204.48;24224.86;1457701.92
24;0;12;3.63;14;2313.35;1890.75;182835.21;0.0;523542.91
25;0;2;521.47;3;4402.13;4538.97;160611.98;37472.58;375148.55
26;0;0;0.0;0;4013.47;4458.38;40460.38;245.09;458908.27
27;0;16;18.99;9;11356.58;5237.61;175947.35;133354.79;1511263.77
28;13;50;5.74;13;5071.04;5662.04;375892.95;20961.24;354207.08
29;0;16;60.08;6;3803.42;7034.11;152772.52;0.0;430262.32
