ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
492;0;2;4.83;10;12531.43;6364.72;45411.35;0.0;1561015.48
493;0;0;0.0;0;0.0;5803.23;12953.13;3414.2;898341.39
494;0;49;6.32;14;16929.76;188.55;475702.75;3631.54;5142066.69
495;15;72;1.65;13;1865.79;4699.77;349151.57;0.0;2124804.31
496;0;7;3228.17;2;4833.62;8965.71;29761.73;0.0;1472399.75
497;0;18;1.2;15;2130.22;417.26;82481.02;936.23;412893.92
498;0;40;1.11;19;3086.74;775.87;97068.52;60046.1;774613.4
499;10;27;0.0;0;630.32;6430.86;3913.88;0.0;624974.74
500;24;60;2.41;20;6654.29;5211.72;67809.27;0.0;2323729.73
501;0;9;9.6;12;1369.93;5441.82;316895.35;9096.82;664790.4
502;0;36;2.08;17;4384.33;4788.18;66031.91;0.0;451865.5
503;0;24;1.06;16;3339.07;291.89;66409.55;7973.0;333721.71
504;0;20;1.51;15;5307.84;561.68;62712.57;18404.86;453493.65
505;7;20;3.18;16;614.37;4701.04;64907.75;47671.23;387391.92
506;0;3;380.01;3;177.99;3996.16;13093.1;61639.71;256969.99
507;0;30;11.59;12;4504.94;3731.37;576480.33;5377.13;915908.21
508;0;3;0.0;0;4643.33;4325.55;250354.04;37567.41;441979.12
509;0;0;0.0;0;7505.83;6634.57;14415.81;7919.05;1720889.53
510;0;10;3.05;13;12728.35;3842.54;738111.21;39464.58;9817047.94
511;0;4;1.14;16;35048.41;6190.41;1208169.35;25861.09;9109062.58
512;0;1;1.87;26;32629.52;4538.63;126292.79;0.0;6886588.1
